wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Middle,Primary,Urban,Other Caste,Household Barrier,3229,False,0.27284,0.497776,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Other Caste,Logistical Barrier,3229,False,0.237535,0.402255,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Other Caste,Health Facility Barrier,3229,False,0.430474,0.466075,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Tribe,Household Barrier,362,False,0.212707,0.440289,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Tribe,Logistical Barrier,362,False,0.18232,0.378387,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Tribe,Health Facility Barrier,362,False,0.364641,0.438749,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Don't Know,Household Barrier,465,False,0.150538,0.325759,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Don't Know,Logistical Barrier,465,False,0.24086,0.404634,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Don't Know,Health Facility Barrier,465,False,0.52043,0.541074,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,No Caste/Tribe,Household Barrier,3020,False,0.287748,0.516173,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,No Caste/Tribe,Logistical Barrier,3020,False,0.356954,0.529111,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,No Caste/Tribe,Health Facility Barrier,3020,False,0.495033,0.528876,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Other Caste,Household Barrier,55693,False,0.243011,0.46039,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Other Caste,Logistical Barrier,55693,False,0.311332,0.492846,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
